id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
88073,16783,You Don't Know Jack Vol. 3,NULL,1997-10-31 00:00:00.000,1,NULL,NULL,NULL,70.0000,1
88119,11097,Balls of Steel,NULL,1997-12-12 00:00:00.000,2,NULL,NULL,NULL,NULL,NULL
88337,172795,Fighter's History Dynamite,"Fighter's History Dynamite: The quest to defeat the mysterious Baron of Battlers, the mysterious K, is on. In order to get to this grotesque gladiator, however, you need to fight your way through 11 matches with the most skilled, most deadly of all combatants in the world of physical contact. Use your powers of pulverization, psychic energy blasts, and ridiculous strength to become the explosive fighting god in FIGHTERS HISTORY DYNAMITE!  Fighter's History: Mizoguchi Kiki Ippatsu!! The story mode is a gag-adventure story which stars Mizoguchi. Out on a leisurely outing, he takes a break to enjoy his town's specialty: takoyaki (or octopus balls). Before he can place an order, he is confronted by a mysterious man who challenges him to prove the snack's worth against the whole world. After the man disappears in a flash of light, Mizoguchi is somehow provoked enough to search the globe's octopus dishes and to prove that Osaka has the best takoyaki in the world. He does this by awkwardly interrogating the series's characters although he usually misinterprets their explanations as insults or puns.",1997-07-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
88355,140026,Velldeselba Senki: Tsubasa no Kunshou,"On the planet Verdecelba, which exists in a corner of the universe, three military nations, ""Noipask"", ""Gidan"" and ""Munogii"" have been in conflict for a long time. Space pilot Misaki is caught in its gravitational sphere, crashes and is rescued by Noipask. Becomes a mercenary and gets involved in the conflict between these three nations.",1997-04-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
88494,73366,Perfect Assassin,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
88636,771,Links LS: 1998 Edition,NULL,1997-06-30 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
88638,2000,Postal,"There is no plot as such. The presence of a moving van on the first level suggests that the Postal Dude has been evicted from his home and is therefore ""going postal"", but no background story evolves during the game. However, the manual hints that the Postal Dude believes himself to be targeted by the town, and in-between levels, players are given a chance to delve into his psychosis with ominous diary entries containing phrases like ""The earth is hungry. Its heart throbs and demands cleansing. The earth is also thirsty..."". The game ends with the Postal Dude attempting to massacre an elementary school, but failing due to having a mental breakdown and ending up getting captured by the government and incarcerated in an asylum.",1997-09-24 00:00:00.000,12,NULL,NULL,NULL,67.8205,38
88896,48366,Blood of Jurassic,NULL,1997-07-02 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
89304,4097,Tomba!,"Tomba! is set on a group of islands in the middle of an ocean which do not appear on any map. Formed with great provinces in the north and smaller islands in the south, the region is home to peaceful people who lived in tranquility for many years. The island was once a beautiful place, home to birds and plantations.  The protagonist is an energetic pink-haired youngster named Tomba (Tombi in Europe). One day, seven evil pigs appeared, and using their magical powers, they mutated the surroundings into a bizarre landscape. The underlings of The Evil Pigs, called the Koma Pigs, stole Tomba's grandfather's bracelet and a substantial amount of gold through a strange lust for it.  Tomba's quest is to fetch his bracelet, which requires trapping the Evil Pigs along the way. Trapping them involves finding the Evil Pig Bags, which are keys to entering each realm of each Evil Pig. He must also complete missions for other people to get items and the Evil Pig Bags. Some side-missions are purely for fun and irrelevant to the main storyline.",1997-12-25 00:00:00.000,14,NULL,NULL,NULL,74.9711,28
89477,36988,Legal Crime,NULL,1997-09-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
89490,94500,Damage Incorporated,NULL,1997-08-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
89570,16590,Barkanoid,NULL,1997-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
89854,39944,Side by Side 2,NULL,1997-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
90120,859,Seven Kingdoms,NULL,1997-11-30 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
90512,131542,Ultim@te Race Pro,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
90777,45317,4-4-2 Soccer,NULL,1997-09-08 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
90853,78414,E.T.: No More Mr. Nice Alien,NULL,1997-03-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
90886,51351,Tetrinet,NULL,1997-09-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
91106,128889,Aviation Adventure,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
91116,68817,Star Wars: Monopoly,NULL,1997-10-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
91144,45456,Shinrei Jusatsushi Tarōmaru,NULL,1997-01-17 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
91285,42588,The Adventures of Tintin: Prisoners of the Sun,NULL,1997-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
91527,44930,VMX Racing,NULL,1997-07-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
91625,72960,Doctor Who: Destiny of the Doctors,NULL,1997-12-05 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
91654,46923,World Tour Racing,NULL,1997-06-02 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
91749,28056,Rush Hour,NULL,1997-04-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
91928,16479,Dracula: Reign of Terror,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
92123,585,688(I) Hunter/Killer,NULL,1997-07-04 00:00:00.000,1,NULL,NULL,NULL,60.0000,4
92355,44845,Pax Corpus,NULL,1997-11-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
92417,91688,RAZE,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
92429,185677,Iwatobi Penguin Rocky x Hopper,NULL,1997-04-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
92465,1418,Bushido Blade,NULL,1997-03-14 00:00:00.000,NULL,NULL,NULL,NULL,78.8048,18
92651,76728,The Note,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
93008,147443,The Lost World: Jurassic Park,NULL,1997-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
93063,8075,The Lost World: Jurassic Park,"The player, as a hunter (Player 1) and Ian Malcolm (Player 2) is sent to Isla Sorna by InGen to capture some dinosaur specimens and battle another group of hunters (it is unknown whether they are sent by Peter Ludlow, Biosyn, or simply poachers).",1997-09-16 00:00:00.000,2,NULL,NULL,NULL,60.3885,10
93097,42247,Earth Light: Luna Strike,NULL,1997-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
93369,46204,Sonic Classics,NULL,1997-02-01 00:00:00.000,2,NULL,NULL,NULL,NULL,NULL
93442,28135,Road's Edge,NULL,1997-09-10 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
93548,44785,Namco Museum Encore,NULL,1997-11-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
93568,141163,Tactics Formula,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
93743,176134,Pachi-Slot Kanzen Kouryaku Uni-Colle'97,NULL,1997-09-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
93938,50299,Backyard Baseball (1997),NULL,1997-10-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
93959,143644,3D Kaleidoscope: Baby Universe,NULL,1997-06-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
93975,141165,Power Stakes: Grade 1,"The simulation ""Power Stakes"" data-driven popular racing series, a sequel was expected to enhance the system by introducing new data appeared. Power up more of the differences between the running of each quality setting and legs of each horse racing index Baba, realize real expectations. Moreover, it also included all 10 years of data Stakes.",1997-10-09 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
94267,43769,Running High,NULL,1997-05-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
94371,93232,Gord@k,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
94411,187028,Ninja Jajamaru-kun: Onigiri Ninpouchou Gold,NULL,1997-10-09 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
94482,45474,Layer Section II,NULL,1997-11-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
94713,19165,Criticom,NULL,1997-02-01 00:00:00.000,NULL,NULL,30.0000,1,NULL,NULL
94867,1610,Mortal Kombat Mythologies: Sub-Zero,"In a storyline that is reminiscent of Looking Glass's Thief, the Lin Kuei assassin/thief is sent to steal an important document; this mission proves to be a test from a mysterious character (which turns out to be MK4's Quan Chi) and who charges you upon retrieval of this object to recover an ancient medallion of untold power. However once you retrieve the medallion, Quan Chi reveals that he actually tricked you, and the medallion is the key to awakening the demonic Shinnok (yup, the same baddie from MK4). You must now become a reluctant hero, as you pursue Quan Chi trough hell itself hoping you get to Shinnok before him.",1997-10-01 00:00:00.000,3,NULL,NULL,NULL,44.8634,36
94890,45412,Bouken Katsugeki Monomono,NULL,1997-10-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
94892,42297,Shin Momotaro Densetsu,NULL,1997-09-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
95392,11820,"Achaea, Dreams of Divine Lands",NULL,1997-09-09 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
95539,28410,Backpacker 2,NULL,1997-06-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
95689,167154,Primal Rage II,"The game would feature avatars of the gods as playable characters. Necrosan trapped the gods so they couldn't fight him, so the avatars had to save the gods by fighting each other to reach Necrosan. If the player were to beat Necrosan then they would get an ending.",1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
95877,6724,Cleopatra's Fortune,NULL,1997-02-17 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
96090,37872,Pro Yakyuu Star,NULL,1997-01-17 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
96176,69163,Cricket 97: Ashes Tour Edition,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
96244,70330,Lose Your Marbles,NULL,1997-08-19 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
96384,147442,The Lost World: Jurassic Park,NULL,1997-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
96664,113110,EVE burst error,NULL,1997-05-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
96757,180229,Team 47 GoMan,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
96762,19156,The Granstream Saga,NULL,1997-11-06 00:00:00.000,2,NULL,NULL,NULL,NULL,NULL
97096,1594,Gran Turismo,NULL,1997-12-23 00:00:00.000,58,NULL,73.3333,4,82.7771,187
97178,35061,Big Thinkers 1st Grade,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,70.0000,1
97238,55145,Medarot Kabuto Version,NULL,1997-11-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
